tv_series,tv_seriesLabel,start_time,end_time,award,awardLabel,award_year,award_type
http://www.wikidata.org/entity/Q752945,At Last The 1948 Show,1967-02-15T00:00:00Z,1968-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q24668320,B-project,,,,,,
http://www.wikidata.org/entity/Q2876720,BBC Breakfast,2000-10-02T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q8346140,BBC: Бермудский треугольник,,,,,,
http://www.wikidata.org/entity/Q5447782,BBC: Борьба за жизнь,2007-07-09T00:00:00Z,2007-08-13T00:00:00Z,,,,
http://www.wikidata.org/entity/Q6980859,BBC: Величайшие явления природы,2009-02-11T00:00:00Z,2009-03-18T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1192296,BBC: Возвышение человечества,1973-01-01T00:00:00Z,1973-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2873058,BBC: Вокруг света с Майклом Пейлином,1997-08-10T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q8000617,BBC: Дикая Австралазия,2003-09-17T00:00:00Z,2003-10-17T00:00:00Z,,,,
http://www.wikidata.org/entity/Q8000483,BBC: Дикая Африка,2001-11-07T00:00:00Z,2001-12-12T00:00:00Z,,,,
http://www.wikidata.org/entity/Q8000570,BBC: Дикие Карибы,2007-01-16T00:00:00Z,2007-02-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q7747870,BBC: Живая планета,1984-01-19T00:00:00Z,1984-04-12T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1710184,BBC: Жизнь,2009-10-12T00:00:00Z,2009-12-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1140053,BBC: Жизнь млекопитающих,2002-11-20T00:00:00Z,2003-02-05T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1169496,BBC: Жизнь птиц,1998-10-21T00:00:00Z,1998-12-23T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2947792,BBC: Жизнь с холодной кровью,2008-02-04T00:00:00Z,2008-03-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q5327129,BBC: История Земли,1998-11-01T00:00:00Z,1998-12-27T00:00:00Z,,,,
http://www.wikidata.org/entity/Q5917418,BBC: Как искусство сотворило мир,2005-06-26T00:00:00Z,2005-07-24T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1965005,BBC: Нацизм: Предостережение истории,1997-09-10T00:00:00Z,1997-10-15T00:00:00Z,,,,
http://www.wikidata.org/entity/Q593403,BBC: Новая Европа с Майклом Пейлином,2007-09-16T00:00:00Z,2007-10-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q7209262,BBC: От полюса до полюса с Майклом Пейлином,1992-10-21T00:00:00Z,1992-12-09T00:00:00Z,,,,
http://www.wikidata.org/entity/Q3504582,BBC: Планеты,1999-04-29T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q7741738,BBC: Путешествие человека,2009-05-10T00:00:00Z,2009-06-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q7399511,BBC: Сахара с Майклом Пейлином,2002-10-13T00:00:00Z,2002-11-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q14954389,BBC: Тело человека,1998-05-20T00:00:00Z,1998-06-25T00:00:00Z,,,,
http://www.wikidata.org/entity/Q12060049,BBC: Тигр: Шпион джунглей,1995-04-14T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q14954440,BBC: Троя,1985-02-24T00:00:00Z,1985-03-31T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1094497,BBC: Цивилизация,1969-02-23T00:00:00Z,1969-05-18T00:00:00Z,,,,
http://www.wikidata.org/entity/Q762866,BBC: Частная жизнь шедевров,2001-12-08T00:00:00Z,2010-12-25T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2667515,Balls of Steel,2005-08-19T00:00:00Z,2008-04-25T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15401735,Balão Mágico,1983-03-07T00:00:00Z,1986-06-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q789932,Bam's Unholy Union,2007-01-30T00:00:00Z,2007-04-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q120884833,Beleza Fatal,2025-01-27T00:00:00Z,2025-03-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2902125,Big Bang,1993-01-27T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q2342897,Bikkuriman,1992-05-17T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q16842469,Biss och Kajs,,,,,,
http://www.wikidata.org/entity/Q1247639,Blue peter,1958-10-16T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q583933,Britain's Brainiest Kid,2001-08-09T00:00:00Z,2002-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q556444,Britain’s Got Talent,2007-06-09T00:00:00Z,,http://www.wikidata.org/entity/Q1369077,British Academy Television Awards,2016-05-08T00:00:00Z,
http://www.wikidata.org/entity/Q1070304,Britney & Kevin: Chaotic,2005-05-17T00:00:00Z,2005-06-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q106910380,C.S.I.: Вегас,2021-10-06T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q16919551,C.S.I.: Киберпространство,2015-03-04T00:00:00Z,2016-03-13T00:00:00Z,,,,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q1255198,Премия «Золотой глобус» за лучший телевизионный сериал — драма,2001-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q7669614,Премия Ассоциации телевизионных критиков за выдающиеся достижения в драме,2001-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q3025728,Премия «Спутник» за лучший телевизионный сериал — драма,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q583972,Премия «Эмми» за лучшую режиссуру драматического телесериала,2005-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q1257501,Премия «Золотой глобус» за лучшую женскую роль в телевизионном сериале — драма,2001-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q989445,Премия «Эмми» за лучшую женскую роль в драматическом телесериале,2001-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,2000-10-06T00:00:00Z,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q1257501,Премия «Золотой глобус» за лучшую женскую роль в телевизионном сериале — драма,2002-01-01T00:00:00Z,
