tv_series,tv_seriesLabel,start_date,end_date,award,awardLabel,award_year,award_type
http://www.wikidata.org/entity/Q1192296,BBC: Возвышение человечества,,1973-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2873058,BBC: Вокруг света с Майклом Пейлином,,,,,,
http://www.wikidata.org/entity/Q8000617,BBC: Дикая Австралазия,,2003-10-17T00:00:00Z,,,,
http://www.wikidata.org/entity/Q8000483,BBC: Дикая Африка,,2001-12-12T00:00:00Z,,,,
http://www.wikidata.org/entity/Q8000570,BBC: Дикие Карибы,,2007-02-06T00:00:00Z,,,,
http://www.wikidata.org/entity/Q7747870,BBC: Живая планета,,1984-04-12T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1710184,BBC: Жизнь,,2009-12-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1140053,BBC: Жизнь млекопитающих,,2003-02-05T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1169496,BBC: Жизнь птиц,,1998-12-23T00:00:00Z,http://www.wikidata.org/entity/Q838121,премия Пибоди,1999-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2947792,BBC: Жизнь с холодной кровью,,2008-03-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q5327129,BBC: История Земли,,1998-12-27T00:00:00Z,,,,
http://www.wikidata.org/entity/Q5917418,BBC: Как искусство сотворило мир,,2005-07-24T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1965005,BBC: Нацизм: Предостережение истории,,1997-10-15T00:00:00Z,,,,
http://www.wikidata.org/entity/Q593403,BBC: Новая Европа с Майклом Пейлином,,2007-10-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q7209262,BBC: От полюса до полюса с Майклом Пейлином,,1992-12-09T00:00:00Z,,,,
http://www.wikidata.org/entity/Q3504582,BBC: Планеты,,,,,,
http://www.wikidata.org/entity/Q7741738,BBC: Путешествие человека,,2009-06-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q7399511,BBC: Сахара с Майклом Пейлином,,2002-11-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q14954389,BBC: Тело человека,,1998-06-25T00:00:00Z,,,,
http://www.wikidata.org/entity/Q12060049,BBC: Тигр: Шпион джунглей,,,,,,
http://www.wikidata.org/entity/Q14954440,BBC: Троя,,1985-03-31T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1094497,BBC: Цивилизация,,1969-05-18T00:00:00Z,http://www.wikidata.org/entity/Q838121,премия Пибоди,1970-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q762866,BBC: Частная жизнь шедевров,,2010-12-25T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2667515,Balls of Steel,,2008-04-25T00:00:00Z,,,,
http://www.wikidata.org/entity/Q15401735,Balão Mágico,,1986-06-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q789932,Bam's Unholy Union,,2007-04-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q120884833,Beleza Fatal,,2025-03-21T00:00:00Z,,,,
http://www.wikidata.org/entity/Q2902125,Big Bang,,,,,,
http://www.wikidata.org/entity/Q2342897,Bikkuriman,,,,,,
http://www.wikidata.org/entity/Q16842469,Biss och Kajs,,,,,,
http://www.wikidata.org/entity/Q1247639,Blue peter,,,,,,
http://www.wikidata.org/entity/Q583933,Britain's Brainiest Kid,,2002-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q556444,Britain’s Got Talent,,,,,,
http://www.wikidata.org/entity/Q1070304,Britney & Kevin: Chaotic,,2005-06-14T00:00:00Z,,,,
http://www.wikidata.org/entity/Q106910380,C.S.I.: Вегас,,,,,,
http://www.wikidata.org/entity/Q16919551,C.S.I.: Киберпространство,,2016-03-13T00:00:00Z,,,,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q3025728,Премия «Спутник» за лучший телевизионный сериал — драма,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q6952069,NAACP Image Award лучшему актёру второго плана в драматическом сериале,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q117396,C.S.I.: Место преступления,,2015-02-15T00:00:00Z,http://www.wikidata.org/entity/Q2530270,Премия Гильдии киноактёров США за лучший актёрский состав в драматическом сериале,2005-01-01T00:00:00Z,
