tv_series,tv_seriesLabel,start_year,end_year,awardLabel,subjectLabel
http://www.wikidata.org/entity/Q20642206,Нарко,2015,2017,British Academy Television Award for Best International Programme,corruption in Colombia
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,премия «Спутник» за лучшую мужскую роль в драматическом телесериале,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия «Эмми» в категории «Лучший приглашённый актёр в драматическом телесериале»,политическая система США
http://www.wikidata.org/entity/Q7278201,R. K. Laxman Ki Duniya,2011,2013,Indian Telly Award for Best Actor in a Comic Role,
http://www.wikidata.org/entity/Q7278201,R. K. Laxman Ki Duniya,2011,2013,Indian Telly Award for Best Actress in a Comic Role,
http://www.wikidata.org/entity/Q2708868,Шестерёнки,2005,2020,British Academy Television Award for Best International Programme,
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия «Золотой глобус» за лучший телевизионный сериал — драма,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Primetime Emmy Award for Outstanding Casting for a Drama Series,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Primetime Emmy Award for Outstanding Cinematography for a Single-Camera Series,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Primetime Emmy Award for Outstanding Costumes for a Series,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Primetime Emmy Award for Outstanding Main Title Design,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Прайм-таймовая премия «Эмми» за лучшую музыкальную композицию для телесериала,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Прайм-таймовая премия «Эмми» за лучшую оригинальную главную вступительную музыкальную тему,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,премия «Эмми» за лучший драматический сериал,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия «Эмми» за лучшую женскую роль в драматическом телесериале,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,премия «Эмми» за лучшую мужскую роль в драматическом телесериале,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия «Золотой глобус» за лучшую женскую роль в телевизионном сериале — драма,политическая система США
http://www.wikidata.org/entity/Q11787820,I'm Alan Partridge,1997,2002,British Academy Television Award for Best Male Comedy Performance,
http://www.wikidata.org/entity/Q20642206,Нарко,2015,2017,British Academy Television Award for Best International Programme,биологически активные вещества
http://www.wikidata.org/entity/Q16997000,Внутри Эми Шумер,2013,2016,"Прайм-таймовая премия «Эмми» за лучший сценарий для варьете, музыкального или комедийного сериала",
http://www.wikidata.org/entity/Q16996902,Лондонский шпион,2015,2015,British Academy Television Awards,
http://www.wikidata.org/entity/Q13098946,Сотня,2014,2020,Прайм-таймовая премия «Эмми» за лучшие специальные визуальные эффекты,
http://www.wikidata.org/entity/Q16993729,Four on the Floor,1994,1996,CableACE Award,
http://www.wikidata.org/entity/Q11787820,I'm Alan Partridge,1997,2002,British Academy Television Award for Best Comedy,
http://www.wikidata.org/entity/Q2610941,Holby City,1999,2022,British Academy Television Awards,
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия «Эмми» за лучшую женскую роль второго плана в драматическом телесериале,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия «Эмми» за лучшую мужскую роль второго плана в драматическом телесериале,политическая система США
http://www.wikidata.org/entity/Q19824808,No Offence,2015,2018,British Academy Television Awards за лучший драматический сериал,
http://www.wikidata.org/entity/Q19572149,Люди,2015,2018,British Academy Television Awards за лучший драматический сериал,робот
http://www.wikidata.org/entity/Q19572149,Люди,2015,2018,British Academy Television Awards за лучший драматический сериал,андроид
http://www.wikidata.org/entity/Q11787820,I'm Alan Partridge,1997,2002,British Academy Television Awards за лучшее комедийное выступление,
